"","x"
"616","-330,-299,"
"617","356,-299,"
"618","-4,-424,"
"619","4,-424,"
"620","276,2,"
"621","-277,2,"
"622","-330,2,"
"623","-471,2,"
"624","10,158,"
"625","222,158,"
"626","226,330,"
"627","-2,330,"
"628","-329,158,"
"629","-471,330,"
"630","-8,158,"
"631","-170,20,"
"632","-283,-79,"
"633","295,-295,"
"634","65,20,"
"635","79,-79,"
"636","149,8,"
"637","-197,-4,"
"638","-197,4,"
"639","197,-4,"
"640","197,4,"
"641","-163,-31,"
"642","-163,33,"
"643","-163,408,"
"644","-163,-883,"
"645","31,408,"
"646","31,-883,"
"647","-33,408,"
"648","-33,-883,"
"649","154,-154,"
"650","10,185,"
"651","10,-55,"
"652","129,185,"
"653","-8,185,"
"654","129,-55,"
"655","-158,185,"
"656","168,185,"
"657","-20,185,"
"658","-8,-55,"
"659","10,-65,"
"660","129,-65,"
"661","-158,-55,"
"662","-158,-65,"
"663","168,-129,"
"664","168,20,"
"665","168,-55,"
"666","168,-65,"
"667","-20,-55,"
"668","-20,-65,"
"669","85,-30,"
"670","-8,-65,"
"671","149,-149,"
"672","-20,158,"
"673","-20,-168,"
"674","-213,158,"
"675","-213,-168,"
"676","-280,-149,"
"677","129,-149,"
"678","129,280,"
"679","149,158,"
"680","149,-168,"
"681","149,280,"
"682","149,54,"
"683","-173,-149,"
"684","-173,280,"
"685","193,89,"
"686","-20,-149,"
"687","-20,280,"
"688","204,-149,"
"689","204,280,"
"690","-213,-149,"
"691","-213,280,"
"692","-280,158,"
"693","-280,-168,"
"694","-280,280,"
"695","-89,89,"
"696","99,-149,"
"697","99,280,"
"698","276,-226,"
"699","276,330,"
"700","276,-356,"
"701","-277,-226,"
"702","299,2,"
"703","299,-226,"
"704","-471,-226,"
"705","-471,-356,"
"706","-158,170,"
"707","168,170,"
"708","400,-400,"
"709","400,437,"
"710","-437,-400,"
"711","-437,437,"
"712","-87,-400,"
"713","-87,437,"
"714","120,237,"
"715","120,-247,"
"716","-302,650,"
"717","-302,-658,"
"718","323,650,"
"719","323,-658,"
"720","479,650,"
"721","479,-658,"
"722","-382,20,"
"723","429,20,"
"724","168,8,"
"725","-173,20,"
"726","-185,173,"
"727","-185,-204,"
"728","55,173,"
"729","55,-204,"
"730","-143,-4,"
"731","-143,4,"
"732","143,-4,"
"733","143,4,"
"734","-143,76,"
"735","143,76,"
"736","323,-288,"
"737","323,495,"
"738","-94,-4,"
"739","-94,4,"
"740","64,-270,"
"741","31,-716,"
"742","31,942,"
"743","-33,-716,"
"744","-33,942,"
"745","349,141,"
"746","349,-166,"
"747","-157,187,"
"748","-157,-147,"
"749","64,-147,"
"750","64,187,"
"751","68,-147,"
"752","68,187,"
"753","-70,187,"
"754","-163,163,"
"755","-163,-434,"
"756","31,163,"
"757","31,-434,"
"758","-33,163,"
"759","-33,-434,"
"760","-4,-224,"
"761","-4,224,"
"762","400,-64,"
"763","400,70,"
"764","400,87,"
"765","-277,-276,"
"766","-277,471,"
"767","299,471,"
"768","-54,-276,"
"769","-54,471,"
"770","62,471,"
"771","-163,287,"
"772","204,20,"
"773","434,287,"
"774","434,302,"
"775","434,-323,"
"776","-495,287,"
"777","-495,302,"
"778","-495,-323,"
"779","85,-350,"
"780","-361,"
"781","361,"
"782","-361,-143,"
"783","-361,143,"
"784","361,-143,"
"785","361,143,"
"786","-361,-359,"
"787","-361,359,"
"788","361,-359,"
"789","361,359,"
"790","-170,173,"
"791","-170,-204,"
"792","79,290,"
"793","79,-391,"
"794","-437,-64,"
"795","-437,-68,"
"796","-437,70,"
"797","-437,87,"
"798","10,-168,"
"799","10,213,"
"800","10,-99,"
"801","-8,-168,"
"802","-8,213,"
"803","-8,-99,"
"804","-208,208,"
"805","-208,54,"
"806","34,208,"
"807","34,54,"
"808","587,-31,"
"809","62,208,"
"810","392,421,"
"811","392,-519,"
"812","-54,421,"
"813","-54,-519,"
"814","62,421,"
"815","62,-519,"
"816","11,27,"
"817","11,80,"
"818","43,-120,"
"819","-158,-149,"
"820","-158,213,"
"821","-158,280,"
"822","168,-149,"
"823","168,213,"
"824","168,280,"
"825","10,173,"
"826","10,-204,"
"827","-8,173,"
"828","-8,-204,"
"829","479,287,"
"830","479,-323,"
"831","656,-201,"
"832","-287,-716,"
"833","-287,942,"
"834","-302,-716,"
"835","-302,942,"
"836","323,-716,"
"837","323,942,"
"838","270,-400,"
"839","270,437,"
"840","-4,-445,"
"841","-4,445,"
"842","-445,4,"
"843","445,4,"
"844","-280,185,"
"845","120,-465,"
"846","149,185,"
"847","274,-145,"
"848","274,75,"
"849","-280,170,"
"850","-280,-65,"
"851","-403,-145,"
"852","-403,75,"
"853","149,213,"
"854","149,-99,"
"855","-280,213,"
"856","-280,-99,"
"857","129,471,"
"858","-20,471,"
